3.428	3.428	0	3.428	3.428	1	1	1	
3.445	3.445	0	3.445	3.445	1	1	1	
3.442	3.442	0	3.442	3.442	1	1	1	
3.425	3.425	0	3.425	3.425	1	1	1	
3.549	3.549	0	3.549	3.549	1	1	1	
3.441	3.441	0	3.441	3.441	1	1	1	
4.166	4.166	0	4.166	4.166	1	1	1	
3.554	3.554	0	3.554	3.554	1	1	1	
3.593	3.593	0	3.593	3.593	1	1	1	
4.156	4.156	0	4.156	4.156	1	1	1	
3.766	3.766	0	3.766	3.766	1	1	1	
3.389	3.389	0	3.389	3.389	1	1	1	
3.733	3.733	0	3.733	3.733	1	1	1	
3.765	3.765	0	3.765	3.765	1	1	1	
3.376	3.376	0	3.376	3.376	1	1	1	
3.752	3.752	0	3.752	3.752	1	1	1	
3.368	3.368	0	3.368	3.368	1	1	1	
3.353	3.353	0	3.353	3.353	1	1	1	
3.422	3.422	0	3.422	3.422	1	1	1	
3.364	3.364	0	3.364	3.364	1	1	1	
3.441	3.441	0	3.441	3.441	1	1	1	
3.407	3.407	0	3.407	3.407	1	1	1	
3.37	3.37	0	3.37	3.37	1	1	1	
3.44	3.44	0	3.44	3.44	1	1	1	
3.75	3.75	0	3.75	3.75	1	1	1	
3.371	3.371	0	3.371	3.371	1	1	1	
3.453	3.453	0	3.453	3.453	1	1	1	
3.737	3.737	0	3.737	3.737	1	1	1	
3.349	3.349	0	3.349	3.349	1	1	1	
3.452	3.452	0	3.452	3.452	1	1	1	
3.446	3.446	0	3.446	3.446	1	1	1	
3.362	3.362	0	3.362	3.362	1	1	1	
3.654	3.654	0	3.654	3.654	1	1	1	
3.474	3.474	0	3.474	3.474	1	1	1	
3.467	3.467	0	3.467	3.467	1	1	1	
3.653	3.653	0	3.653	3.653	1	1	1	
3.45	3.45	0	3.45	3.45	1	1	1	
3.479	3.479	0	3.479	3.479	1	1	1	
3.563	3.563	0	3.563	3.563	1	1	1	
3.463	3.463	0	3.463	3.463	1	1	1	
3.829	3.829	0	3.829	3.829	1	1	1	
3.587	3.587	0	3.587	3.587	1	1	1	
3.367	3.367	0	3.367	3.367	1	1	1	
3.843	3.843	0	3.843	3.843	1	1	1	
3.442	3.442	0	3.442	3.442	1	1	1	
3.357	3.357	0	3.357	3.357	1	1	1	
3.967	3.967	0	3.967	3.967	1	1	1	
3.586	3.586	0	3.586	3.586	1	1	1	
3.459	3.459	0	3.459	3.459	1	1	1	
3.965	3.965	0	3.965	3.965	1	1	1	
3.811	3.811	0	3.811	3.811	1	1	1	
3.449	3.449	0	3.449	3.449	1	1	1	
4.205	4.205	0	4.205	4.205	1	1	1	
3.82	3.82	0	3.82	3.82	1	1	1	
3.458	3.458	0	3.458	3.458	1	1	1	
4.207	4.207	0	4.207	4.207	1	1	1	
4.1	4.1	0	4.1	4.1	1	1	1	
3.444	3.444	0	3.444	3.444	1	1	1	
3.741	3.741	0	3.741	3.741	1	1	1	
4.074	4.074	0	4.074	4.074	1	1	1	
3.44	3.44	0	3.44	3.44	1	1	1	
3.733	3.733	0	3.733	3.733	1	1	1	
3.533	3.533	0	3.533	3.533	1	1	1	
3.429	3.429	0	3.429	3.429	1	1	1	
3.38	3.38	0	3.38	3.38	1	1	1	
3.542	3.542	0	3.542	3.542	1	1	1	
3.421	3.421	0	3.421	3.421	1	1	1	
3.389	3.389	0	3.389	3.389	1	1	1	
3.369	3.369	0	3.369	3.369	1	1	1	
3.443	3.443	0	3.443	3.443	1	1	1	
3.372	3.372	0	3.372	3.372	1	1	1	
3.37	3.37	0	3.37	3.37	1	1	1	
3.448	3.448	0	3.448	3.448	1	1	1	
3.367	3.367	0	3.367	3.367	1	1	1	
3.625	3.625	0	3.625	3.625	1	1	1	
3.632	3.632	0	3.632	3.632	1	1	1	
3.403	3.403	0	3.403	3.403	1	1	1	
3.565	3.565	0	3.565	3.565	1	1	1	
4.017	4.017	0	4.017	4.017	1	1	1	
3.396	3.396	0	3.396	3.396	1	1	1	
3.557	3.557	0	3.557	3.557	1	1	1	
4.012	4.012	0	4.012	4.012	1	1	1	
3.516	3.516	0	3.516	3.516	1	1	1	
3.42	3.42	0	3.42	3.42	1	1	1	
3.393	3.393	0	3.393	3.393	1	1	1	
3.521	3.521	0	3.521	3.521	1	1	1	
3.409	3.409	0	3.409	3.409	1	1	1	
3.402	3.402	0	3.402	3.402	1	1	1	
3.794	3.794	0	3.794	3.794	1	1	1	
3.385	3.385	0	3.385	3.385	1	1	1	
3.515	3.515	0	3.515	3.515	1	1	1	
3.807	3.807	0	3.807	3.807	1	1	1	
3.388	3.388	0	3.388	3.388	1	1	1	
3.728	3.728	0	3.728	3.728	1	1	1	
3.449	3.449	0	3.449	3.449	1	1	1	
3.397	3.397	0	3.397	3.397	1	1	1	
3.719	3.719	0	3.719	3.719	1	1	1	
3.449	3.449	0	3.449	3.449	1	1	1	
3.406	3.406	0	3.406	3.406	1	1	1	
3.449	3.449	0	3.449	3.449	1	1	1	
3.55	3.55	0	3.55	3.55	1	1	1	
3.394	3.394	0	3.394	3.394	1	1	1	
3.453	3.453	0	3.453	3.453	1	1	1	
3.546	3.546	0	3.546	3.546	1	1	1	
3.39	3.39	0	3.39	3.39	1	1	1	
