7052.552	9.598
7052.559	9.636
7052.567	9.682
7052.573	9.717
7052.580	9.744
7052.586	9.773
7052.593	9.811
7052.600	9.832
7052.606	9.852
7052.611	9.873
7052.618	9.891
7052.624	9.916
7052.636	9.960
7052.643	9.982
7052.649	10.015
7054.499	9.747
7054.505	9.772
7054.535	9.895
7054.542	9.912
7054.550	9.943
7056.508	10.080
7056.514	10.106
7056.520	10.117
7056.526	10.140
7056.531	10.155
7056.536	10.175
7056.542	10.190
7056.547	10.204
7056.555	10.223
7056.561	10.235
7056.566	10.252
7056.573	10.267
7056.579	10.276
7056.584	10.283
7056.590	10.291
7056.595	10.290
7056.602	10.304
7056.609	10.306
7056.615	10.312
7056.621	10.309
7056.628	10.310
7056.635	10.305
7056.639	10.302
7057.627	10.287
7057.633	10.289
7057.642	10.306
7057.658	10.325
7057.662	10.323
7057.667	10.320
7057.672	10.324
7489.574	10.017
7489.579	10.040
7489.587	10.063
7489.592	10.088
7489.602	10.111
7489.606	10.131
7489.611	10.147
7492.603	10.299
7492.608	10.294
7492.617	10.297
7492.622	10.290
7493.589	10.298
7493.594	10.295
7493.604	10.317
7493.609	10.330
7494.591	10.330
7494.596	10.332
7494.605	10.357
7494.610	10.361
7812.598	10.363
7812.618	10.285
7812.625	10.195
7812.630	10.075
7812.635	9.938
7812.643	9.751
7812.647	9.623
7812.651	9.503
7812.656	9.392
7812.660	9.334
7812.668	9.307
7812.672	9.316
7812.676	9.329
7812.684	9.371
7812.688	9.399
7812.692	9.437
7812.702	9.498
7812.706	9.520
7812.711	9.550
7813.540	10.360
7813.546	10.375
7813.555	10.373
7813.560	10.369
7813.564	10.357
7813.573	10.319
7813.578	10.286
7813.582	10.236
7813.589	10.093
7813.594	9.951
7813.602	9.755
7813.606	9.647
7813.610	9.519
7813.618	9.359
7813.621	9.321
7813.626	9.308
7813.633	9.330
7813.637	9.348
7813.641	9.369
7813.651	9.427
7813.655	9.455
7813.659	9.484
7813.667	9.532
7813.671	9.561
7813.675	9.587
7813.683	9.633
7813.687	9.655
7813.692	9.674
7813.696	9.695
7814.527	10.346
7814.532	10.320
7814.543	10.214
7814.547	10.110
7814.552	9.985
7814.560	9.784
7814.564	9.676
7814.568	9.567
7814.575	9.376
7814.579	9.331
7814.585	9.310
7814.593	9.331
7814.597	9.351
7814.601	9.368
7814.609	9.417
7814.613	9.441
7814.617	9.470
7814.624	9.523
7814.629	9.550
7814.633	9.576
7814.640	9.616
7814.644	9.639
7814.648	9.663
7814.656	9.705
7814.660	9.725
7814.664	9.736
7814.672	9.771
7814.676	9.792
7814.680	9.806
7814.688	9.835
7814.693	9.852
7814.697	9.868
